Selfish – Madison Beer	Selfish	Madison Beer
I Heard It Through The Grapevine – Marvin Gaye	I Heard It Through The Grapevine	Marvin Gaye
If You Had My Love – Jennifer Lopez	If You Had My Love	Jennifer Lopez
Kiss from a Rose – Seal	Kiss from a Rose	Seal
"Love Generation - Radio Edit – Bob Sinclar, Gary Pine"	Love Generation - Radio Edit	"Bob Sinclar, Gary Pine"
"Dream On - Radio Edit – Christian Falk, Robyn"	Dream On - Radio Edit	"Christian Falk, Robyn"
"Take Care – Drake, Rihanna"	Take Care	"Drake, Rihanna"
North Country Boy – The Charlatans	North Country Boy	The Charlatans
It's a Beautiful Day – Michael Bublé	It's a Beautiful Day	Michael Bublé
Too Close – Blue	Too Close	Blue
"I Believe – Tim Booth, Angelo Badalamenti"	I Believe	"Tim Booth, Angelo Badalamenti"
Don't Give Me Your Life - Radio Version – Alex Party	Don't Give Me Your Life - Radio Version	Alex Party
Neighbourhood – Space	Neighbourhood	Space
Dance the Way I Feel – Ou Est Le Swimming Pool	Dance the Way I Feel	Ou Est Le Swimming Pool
Can't Speak French – Girls Aloud	Can't Speak French	Girls Aloud
Jump (For My Love) – The Pointer Sisters	Jump (For My Love)	The Pointer Sisters
Singing Low – The Fray	Singing Low	The Fray
Sink Like a Stone – Grace	Sink Like a Stone	Grace
In the Meantime – Spacehog	In the Meantime	Spacehog
Move – The Mamas	Move	The Mamas
Constant Craving – k.d. lang	Constant Craving	k.d. lang
Better Now – Post Malone	Better Now	Post Malone
My Favourite Game – The Cardigans	My Favourite Game	The Cardigans
Say So – Doja Cat	Say So	Doja Cat
Shining – Kristian Leontiou	Shining	Kristian Leontiou
He's On The Phone – Saint Etienne	He's On The Phone	Saint Etienne
Don't Turn Around – Aswad	Don't Turn Around	Aswad
Wishing Well – Terence Trent D'Arby	Wishing Well	Terence Trent D'Arby
If You're Over Me – Years & Years	If You're Over Me	Years & Years
Jealous – Nick Jonas	Jealous	Nick Jonas
Just Another Day – Jon Secada	Just Another Day	Jon Secada
All She Wants – MIKA	All She Wants	MIKA
Late Night Sunshine – Attic Lights	Late Night Sunshine	Attic Lights
Anyway – CeeLo Green	Anyway	CeeLo Green
I Should Have Known Better – Jim Diamond	I Should Have Known Better	Jim Diamond
Point Of View - Radio Edit – DB Boulevard	Point Of View - Radio Edit	DB Boulevard
This Fire – Franz Ferdinand	This Fire	Franz Ferdinand
Cry Me Out – Pixie Lott	Cry Me Out	Pixie Lott
Same Jeans – The View	Same Jeans	The View
Anything – 3T	Anything	3T
Love Is An Arrow – Aberfeldy	Love Is An Arrow	Aberfeldy
The Power Of Love – Huey Lewis & The News	The Power Of Love	Huey Lewis & The News
Bulletproof – La Roux	Bulletproof	La Roux
Only Teardrops – Emmelie de Forest	Only Teardrops	Emmelie de Forest
Almost (Sweet Music) – Hozier	Almost (Sweet Music)	Hozier
Walk This Way – Run–D.M.C.	Walk This Way	Run–D.M.C.
21 Guns – Green Day	21 Guns	Green Day
burning gold – Christina Perri	burning gold	Christina Perri
"To Be Young (feat. Doja Cat) – Anne-Marie, Doja Cat"	To Be Young (feat. Doja Cat)	"Anne-Marie, Doja Cat"
Unchain My Heart – Joe Cocker	Unchain My Heart	Joe Cocker
Every Day Hurts – Sad Café	Every Day Hurts	Sad Café
Woman - Remastered 2010 – John Lennon	Woman - Remastered 2010	John Lennon
My Last Breath – James Newman	My Last Breath	James Newman
From a Distance – Bette Midler	From a Distance	Bette Midler
Maneater – Daryl Hall & John Oates	Maneater	Daryl Hall & John Oates
"Heaven On My Mind (with Sigala) – Becky Hill, Sigala"	Heaven On My Mind (with Sigala)	"Becky Hill, Sigala"
"Home – Leah McFall, will.i.am"	Home	"Leah McFall, will.i.am"
"Happy Just to be With You - Nigel Lowis Mix – Michelle Gayle, Nigel Lowis"	Happy Just to be With You - Nigel Lowis Mix	"Michelle Gayle, Nigel Lowis"
Don't Call Me Up – Mabel	Don't Call Me Up	Mabel
We Own The Night – The Wanted	We Own The Night	The Wanted
Dance Monkey – Tones And I	Dance Monkey	Tones And I
"Prisoner (feat. Dua Lipa) – Miley Cyrus, Dua Lipa"	Prisoner (feat. Dua Lipa)	"Miley Cyrus, Dua Lipa"
Loaded – Miles Kane	Loaded	Miles Kane
I Will Wait – Mumford & Sons	I Will Wait	Mumford & Sons
Arts and Crafts – Red Light Company	Arts and Crafts	Red Light Company
"More, More, More – Andrea True Connection"	"More, More, More"	Andrea True Connection
"Nothing Left But Family – Rebecca Ferguson, Nile Rodgers"	Nothing Left But Family	"Rebecca Ferguson, Nile Rodgers"
"Old Town Road (feat. Billy Ray Cyrus) - Remix – Lil Nas X, Billy Ray Cyrus"	Old Town Road (feat. Billy Ray Cyrus) - Remix	"Lil Nas X, Billy Ray Cyrus"
Ring of Fire – Johnny Cash	Ring of Fire	Johnny Cash
You Can Get It If You Really Want – Jimmy Cliff	You Can Get It If You Really Want	Jimmy Cliff
SOMEONE ELSE – Bishop Briggs	SOMEONE ELSE	Bishop Briggs
I'll Be Waiting – Lenny Kravitz	I'll Be Waiting	Lenny Kravitz
How Long – Charlie Puth	How Long	Charlie Puth
Heroes – Måns Zelmerlöw	Heroes	Måns Zelmerlöw
bad guy – Billie Eilish	bad guy	Billie Eilish
Happiness – McFly	Happiness	McFly
Be an Astronaut – Declan McKenna	Be an Astronaut	Declan McKenna
The Joker – Steve Miller Band	The Joker	Steve Miller Band
Daydreamer – Menswear	Daydreamer	Menswear
"Our House – Crosby, Stills, Nash & Young"	Our House	"Crosby, Stills, Nash & Young"
Who Loves You – Frankie Valli & The Four Seasons	Who Loves You	Frankie Valli & The Four Seasons
Bitch – Meredith Brooks	Bitch	Meredith Brooks
Moondance – Van Morrison	Moondance	Van Morrison
Eclipse – Frances	Eclipse	Frances
